Subestação;Alimentador;Regional
BETQ;BETQ404;CEBE
BETQ;BETQ405;CEBE
BETQ;BETQ407;CEBE
BETQ;BETQ408;CEBE
BETQ;BETQ410;CEBE
BETQ;BETQ413;CEBE
BETQ;BETQ415;CEBE
BETQ;BETQ416;CEBE
BETQ;BETQ417;CEBE
BETQ;BETQ419;CEBE
BETT;BETT317;CEBE
BHAT;BHAT03;CEBE
BHAT;BHAT04;CEBE
BHAT;BHAT16;CEBE
BHAT;BHAT18;CEBE
BHAT;BHAT20;CEBE
BHJT;BHJT14;CEBE
BHJT;BHJT17;CEBE
BHSR;BHSR29;CEBE
CEMQ;CEMQ404;CEBE
CEMQ;CEMQ407;CEBE
CEMC;CEMC502;CEBE
CEMC;CEMC503;CEBE
CEMT;CEMT02;CEBE
CEMT;CEMT03;CEBE
CEMT;CEMT04;CEBE
CEMT;CEMT07;CEBE
CEMT;CEMT10;CEBE
CEMT;CEMT12;CEBE
CEMT;CEMT13;CEBE
CEMT;CEMT14;CEBE
CEMT;CEMT20;CEBE
CEMT;CEMT21;CEBE
CEMT;CEMT22;CEBE
CEMT;CEMT24;CEBE
CEMT;CEMT25;CEBE
CICM;CICM01;CEBE
CICM;CICM02;CEBE
CICM;CICM03;CEBE
CICM;CICM04;CEBE
CICM;CICM05;CEBE
CICM;CICM15;CEBE
CICM;CICM26;CEBE
CICM;CICM27;CEBE
CICM;CICM28;CEBE
CICM;CICM30;CEBE
CICM;CICM31;CEBE
CICM;CICM32;CEBE
CICM;CICM34;CEBE
CICM;CICM35;CEBE
CINC;CINC01;CEBE
CINC;CINC02;CEBE
CINC;CINC03;CEBE
CINC;CINC05;CEBE
CINC;CINC07;CEBE
CINC;CINC09;CEBE
CINC;CINC10;CEBE
CINC;CINC11;CEBE
CINC;CINC18;CEBE
CINC;CINC19;CEBE
CINC;CINC20;CEBE
CINC;CINC22;CEBE
IBRU;IBRU04;CEBE
IBRU;IBRU06;CEBE
IBRU;IBRU07;CEBE
ESR;ESR18;CEBE
MDH;MDH06;CEBE
MDH;MDH07;CEBE
MDH;MDH08;CEBE
NLAE;NLAE704;CEBE
NLAE;NLAE705;CEBE
NLAE;NLAE714;CEBE
NLAE;NLAE723;CEBE
NLAE;NLAE724;CEBE
NLAE;NLAE732;CEBE
NLAE;NLAE733;CEBE
NLAQ;NLAQ405;CEBE
NLAQ;NLAQ407;CEBE
NLAQ;NLAQ408;CEBE
NLAQ;NLAQ410;CEBE
NLAQ;NLAQ413;CEBE
NLAQ;NLAQ414;CEBE
NLAU;NLAU06;CEBE
NLAU;NLAU08;CEBE
NLAU;NLAU09;CEBE
NLAU;NLAU12;CEBE
NLAU;NLAU13;CEBE
NLAU;NLAU15;CEBE
RCM;RCM05;CEBE
RCM;RCM06;CEBE
RBST;RBST333;CEBE
RBST;RBST334;CEBE